SVM_accuracy_mean,SVM_accuracy_std,SVM_auc_mean,SVM_auc_std,SVM_f1_mean,SVM_f1_std,DT_accuracy_mean,DT_accuracy_std,DT_auc_mean,DT_auc_std,DT_f1_mean,DT_f1_std,KNN_accuracy_mean,KNN_accuracy_std,KNN_auc_mean,KNN_auc_std,KNN_f1_mean,KNN_f1_std,LR_accuracy_mean,LR_accuracy_std,LR_auc_mean,LR_auc_std,LR_f1_mean,LR_f1_std,RF_accuracy_mean,RF_accuracy_std,RF_auc_mean,RF_auc_std,RF_f1_mean,RF_f1_std,GBM_accuracy_mean,GBM_accuracy_std,GBM_auc_mean,GBM_auc_std,GBM_f1_mean,GBM_f1_std,XGBoost_accuracy_mean,XGBoost_accuracy_std,XGBoost_auc_mean,XGBoost_auc_std,XGBoost_f1_mean,XGBoost_f1_std,LightGBM_accuracy_mean,LightGBM_accuracy_std,LightGBM_auc_mean,LightGBM_auc_std,LightGBM_f1_mean,LightGBM_f1_std,CatBoost_accuracy_mean,CatBoost_accuracy_std,CatBoost_auc_mean,CatBoost_auc_std,CatBoost_f1_mean,CatBoost_f1_std,NaiveBayes_accuracy_mean,NaiveBayes_accuracy_std,NaiveBayes_auc_mean,NaiveBayes_auc_std,NaiveBayes_f1_mean,NaiveBayes_f1_std,LinearSVM_accuracy_mean,LinearSVM_accuracy_std,LinearSVM_auc_mean,LinearSVM_auc_std,LinearSVM_f1_mean,LinearSVM_f1_std,AdaBoost_accuracy_mean,AdaBoost_accuracy_std,AdaBoost_auc_mean,AdaBoost_auc_std,AdaBoost_f1_mean,AdaBoost_f1_std,MLP_accuracy_mean,MLP_accuracy_std,MLP_auc_mean,MLP_auc_std,MLP_f1_mean,MLP_f1_std
80.24000000000001,1.2257242756835611,60.72404424303105,1.2179735815738888,35.70028483740594,2.9810292929052746,79.24,1.2908911650483914,72.48741789030439,1.039370267616105,58.39105554533008,2.075760478779134,77.24000000000001,1.4022838514366496,62.302152875391016,1.432339975936513,41.49896398286532,2.9124296743592493,82.56,0.6468384651518497,70.47534370517238,1.8851780726578142,56.74736550232842,3.8129414187821244,85.96000000000001,0.5713142742834285,77.74351428095507,1.148664430268376,68.27115806948794,1.6625695185627474,86.67999999999999,0.5912698199637798,77.69310256391525,1.1002101508596211,68.85907636537401,1.5892322893903224,85.03999999999999,0.6280127387243037,77.27885988976976,1.288127518534466,67.03588960012168,1.8178354441251408,85.86,0.7227724399837067,77.92820178107463,1.4573730883726395,68.36059473570177,2.2548320664268267,86.30000000000001,0.40987803063838424,78.11501523200457,0.8512066729630854,68.9517552605342,1.5297506118469901,82.53999999999999,1.068831137270988,70.5928660517302,1.4026341022338402,56.997711631068896,2.8354344730189123,82.28,0.6046486583132396,68.80679059904476,1.7244752525236848,53.93290012584444,3.6229047028079977,85.66,0.8452218643646184,77.44410028534124,1.326012150963699,67.71387776847362,1.8239877028675664,78.30000000000001,3.603886790674757,70.64704773276142,4.56901385483139,54.386993120477,7.031044031486844
76.39586410635155,1.8722559206279896,73.8263318983796,1.4774919576617715,65.68026621889105,2.4340468470215253,83.41211225997046,1.1245415840871102,83.39030666114053,1.1675522272724523,81.62884926650709,1.3396577723671381,75.14032496307237,1.028260223572062,74.42662875281039,0.9556719949479909,70.7637470043102,0.927901665330306,79.95568685376662,1.7178926551324496,79.01418718586847,1.6919992122745506,75.70259907401801,2.025357181481251,88.07976366322009,0.7169666823935942,87.61797460789037,0.6851588534067486,86.13434476358334,0.76798324445974,88.28655834564255,1.150436187806248,87.77849780237695,1.2491504712549102,86.29488301322476,1.475600501171511,88.58197932053177,1.1598800844549813,88.15846806176133,1.213892060759099,86.74104172219373,1.3493080679313572,88.92171344165435,1.239360529595454,88.46490291888894,1.2597078321335506,87.09666870242687,1.3607996368876507,89.30576070901036,1.4070538498209597,88.83160790963383,1.419674447928604,87.51901296449198,1.5662940352509307,80.20679468242247,1.0029096128075607,78.61442745435656,0.7409412740805245,74.27183577115997,0.9131674636253387,79.94091580502216,1.3908336669227013,78.79079163782698,1.3128336151140845,75.15617721528385,1.6281758963703978,86.67651403249633,0.9670243606105139,86.33661881012958,1.0383663968530077,84.69806269821059,1.2215169196757474,77.44460856720828,2.466632462666338,75.77360491531508,3.8436230806192913,69.86403435706204,7.287259376802909
75.41953232462173,1.6417690306864692,74.62816760745581,1.4480560711901638,67.49119589936437,2.2406230909918827,84.55295735900962,1.2915207256457217,84.58978625940841,1.2978464090899107,84.12786697662789,1.2992678514467584,74.74552957359009,0.7626363838035279,74.65750997442802,0.7426255736343796,73.33553405340304,0.7162781382301673,80.24759284731773,1.2397969011547454,80.04444846983823,1.2539260745526148,78.40374243138719,1.52518854218506,88.58321870701513,0.9890331781154069,88.51620083738175,0.9617349887315045,87.90636040133805,0.9137846067386346,89.1334250343879,0.9278361460269632,89.04287973665882,0.8897543016932377,88.41879071784389,0.8597443062870836,89.32599724896836,1.1279229711141678,89.24633008957106,1.1010445541454628,88.64461773433887,1.1264008312425633,89.353507565337,1.3073914252769694,89.27432418179994,1.286121976595495,88.67856982565398,1.3062524834484694,89.79367262723521,1.149687686050448,89.71379224631903,1.1222567350861108,89.13893145693855,1.1560091408413207,80.12379642365887,1.0865704351103986,79.67787737705477,1.0757631908521577,76.54149448934767,1.4341766393163693,80.01375515818431,1.395047030922485,79.75499104537859,1.3762162657260284,77.75693011542175,1.624442616109303,87.0563961485557,0.6645321776715891,87.01977746859623,0.660321281433275,86.40859868590486,0.665954057132921,76.38239339752407,4.834228768838781,75.87124219009699,4.809200393764479,70.39994486035137,9.404179768761232
75.0,0.8596874432024719,74.99164770844324,0.9371431753661692,68.71975429283059,1.446876690719722,84.87500000000001,0.8129806270754554,84.86853905086689,0.8096377482514325,84.97550960598676,0.9194984037962985,75.8625,0.6930458137814569,75.87482392991672,0.6994412952740662,75.85035222282397,0.8313006098172229,80.03750000000001,0.5681659088681742,80.04332064407215,0.5658212409415443,79.15278400318286,0.7954827367882145,88.41250000000001,0.8665665006218497,88.41760765745128,0.8752208978045927,88.25482243833352,0.9185145703394413,88.21249999999999,0.5024937810560467,88.22170883587913,0.5157836197527935,88.03239389036062,0.6715591225609636,88.5,0.65072075424102,88.50728030200138,0.6378566575120295,88.39878124906522,0.5306698591434478,88.7375,0.5382262535402744,88.75029402444919,0.5450442169450226,88.61148991177856,0.6426648856749418,88.81249999999999,0.760345316287279,88.82650657975887,0.7612780891171811,88.67835902359367,0.72902121590527,80.7125,0.9573727069433291,80.7162801452473,0.9020100942357464,78.80082839993592,1.0846537337013498,80.01249999999999,0.7239216117785153,80.01794034739818,0.7083740669567933,78.89723085880303,0.8930408724060275,86.80000000000001,1.0550473923004586,86.80492289536022,1.0620399667131197,86.70510346585596,1.193257333708294,76.14999999999999,2.468109094023194,76.10199700370924,2.3260270927058913,71.49135205859301,4.697197777347068
74.83333333333334,0.6196374886043848,74.83042065991359,0.8652602780760198,68.902620616998,1.3919849919541596,85.1,0.5820355934981661,85.1035471972418,0.5572214650567596,85.36354909502514,0.7972126374020531,76.86666666666666,0.9568466729604871,76.85669781739219,0.947289761016323,77.00830636772015,1.3262132884655808,80.08888888888889,0.9536156018277918,80.08418765279673,0.9418096598250129,79.37057004849687,1.101371769403758,88.82222222222221,0.5239922721134046,88.81396854291151,0.5302545862999606,88.75139760744236,0.7064610852120509,86.93333333333332,0.5060132238549209,86.92938044891949,0.5082001311885604,86.8845830778424,0.7691742590913695,88.61111111111111,0.6459751934999403,88.60245948260645,0.6442369701390367,88.62238923538227,0.8112932579227605,88.67777777777779,0.47971184766495534,88.67484533968451,0.4787299018517901,88.62430106367327,0.6065038121920182,88.36666666666666,0.6662961933584407,88.37263557032855,0.6664208560633039,88.35818260617107,0.7777583710493265,81.05555555555556,0.9262962222518368,81.05561525742011,0.8932154532776416,79.93219801944565,0.9966396434757229,79.96666666666667,0.9353153558104437,79.96257641814906,0.9203124851899681,79.01776532436364,1.0375508405838878,86.07777777777777,0.6112121128655584,86.06958801632952,0.6034518105775547,85.97583422432511,0.7156113875205642,75.1888888888889,4.964391723583584,74.99104913413784,5.10932385711989,74.03718937227912,3.9029506399987395
74.58,0.48228622207150007,74.58008153297251,0.45834293402365994,68.98744218816674,0.8861350043280086,85.37000000000002,0.43657759905886145,85.35590614097389,0.4289934977981765,85.59531686797621,0.6536493009997936,76.89,0.9068627239003724,76.89339888168638,0.9143790283018377,77.2500484004134,0.7481205128197878,79.86999999999999,0.5749782604586032,79.87628135682107,0.5825688972410094,79.2730826300371,0.5817316378435465,89.27,0.5163332257370234,89.2690578593551,0.5167550410002223,89.25030916219973,0.6302459843956902,86.58000000000001,0.19646882704388427,86.58793172625444,0.1847937065910845,86.57725197747193,0.2840335135313058,88.67,0.35014282800023466,88.66833823364821,0.3368636973374019,88.75868357681625,0.5274255837042036,88.25,0.5787918451395078,88.25255474405907,0.5651406830623229,88.313693469437,0.7252171578686709,88.51,0.5782732917920398,88.51182966183349,0.5689448571556412,88.55400273056463,0.7153986310486854,80.78,0.4802082881417168,80.78276611096611,0.5096534260344774,80.12652984250994,0.8056193327940849,79.74,0.6102458520956939,79.74796023302247,0.6247458336188146,78.93159399423799,0.6681564696162702,85.44,0.674833312752119,85.43773452087795,0.679431089512607,85.3926087511572,0.6348826710078563,78.53,1.1923086848631108,78.4224075612011,1.297374277217821,77.92595515817797,1.0623356622761504
74.39090909090909,0.764177297587907,74.39571010083279,0.538675594409716,69.12775529357388,0.7492648988393141,86.4090909090909,0.4156047072968171,86.40440501225474,0.435063614052903,86.76063531189303,0.4196434661839406,77.24545454545455,0.7126948044552599,77.25370251438873,0.7406996464772722,77.67878044223431,0.720642373196108,79.65454545454544,0.5398193759746748,79.66970789991986,0.5214527273854923,79.14439009405694,0.4063831730302723,89.9909090909091,0.25777176143196173,89.9876895248742,0.255175865872041,90.01608511606109,0.43007647321109427,86.41818181818182,0.5185803889800573,86.41915590745558,0.5200690900847139,86.42195998489393,0.6536693396995074,89.20909090909092,0.6276020216033887,89.20866034689328,0.6092297320788007,89.34434735726693,0.7497623343541202,88.72727272727273,0.4085855464408024,88.72601179335689,0.4017642264402041,88.8147536012527,0.5362933331796521,88.54545454545455,0.3136034238301863,88.54944116695724,0.30654883151950457,88.64687043973942,0.4325417574368335,80.44545454545455,0.5830951894845328,80.45531398961948,0.5843476354504087,80.06462217848052,0.599127582319116,79.66363636363637,0.6806656926303596,79.67651187684176,0.6562590187474197,79.0047566162815,0.5101834188962399,85.17272727272727,0.8693114973005036,85.17013443870975,0.8681023005862271,85.11263214575067,0.8560197768442612,75.40909090909092,6.413119301366047,75.43208835360466,6.356496966813198,78.27275558865384,3.2507633466517305
74.2,0.6051859218455092,74.19850482919303,0.4923779368023514,69.13317407545728,0.5717932825555375,86.9,0.45384162680633877,86.9073687949894,0.47536675656063704,87.24190164634742,0.44471779585039023,78.04166666666667,1.1334558757279563,78.04493582387725,1.1208433076448536,78.79644984080925,1.063962741985894,79.61666666666666,0.28674417556808723,79.61585826382851,0.2780038987465489,79.1772126545745,0.3179574846204755,90.49166666666666,0.5292814836066778,90.49170049728741,0.535620483420827,90.54376558488221,0.493179333945976,86.30833333333332,0.14813657362192578,86.30941838317939,0.15044991000203084,86.32200157780173,0.16924293006123597,89.35000000000001,0.38151743807531946,89.35149506454238,0.39729732275952556,89.49778661245033,0.3357936067845788,88.825,0.554276304943862,88.82836418424377,0.5624520334056737,88.94179414838854,0.506474761149796,88.69166666666666,0.3297726489568191,88.69193578139432,0.3367444005339641,88.80277085804045,0.2946643151788742,80.21666666666667,0.5924290862392059,80.21995607979136,0.5826985270282028,79.97101702886495,0.5072229520488658,79.68333333333334,0.2869862559620419,79.68120230745667,0.29807678110585917,79.08947768658965,0.44761631045977,85.0,0.16029486718059477,85.00032640559638,0.16006071504270616,84.97208123642001,0.07533929224889216,77.25000000000001,2.3087995918995583,77.25727566379474,2.3692527966845303,75.2965091010481,5.083053538475727
74.03076923076924,0.6747342233719512,74.03702794751898,0.5033568372217322,69.17130285204668,0.937171967010542,88.00000000000001,0.21345287577709993,88.00776938152138,0.24111848132730404,88.32057840666995,0.2112710185231281,78.06153846153846,0.3843075691322095,78.07503620228877,0.3936072039213437,78.85228434064888,0.5628105953137748,79.62307692307691,0.14876215081395375,79.62401931428454,0.15767396598355116,79.31587475310718,0.4203225617532644,91.06153846153846,0.28326080983880036,91.06578379005718,0.2903755972194687,91.10832656165812,0.2785567592138053,86.23846153846154,0.2194668095028775,86.24123961232713,0.2191081637570215,86.23783762203018,0.31511972761123785,89.85384615384616,0.4441600010231388,89.86011909131373,0.4587521355924373,89.9682914736337,0.38826329835333945,89.0153846153846,0.4160962565014928,89.02077524616367,0.43367426339096765,89.14070356734885,0.32396422369111566,88.95384615384614,0.42370582627447495,88.96092311973771,0.4335515364876376,89.07300524119647,0.43635127127464324,79.96923076923078,0.4381240266430177,79.97296246373288,0.4372307933001869,79.86477956854105,0.6659729620457547,79.52307692307691,0.22373907034229343,79.52559175741703,0.2351151243422103,79.0677452642079,0.4978421109722324,85.0,0.28367829099362596,85.006438875719,0.2798448765896745,84.96641226797597,0.2604618200930418,75.74615384615385,2.658312851967373,75.67985358973772,2.6720656307264763,74.30094946377382,6.4528146125395205
73.98571428571428,0.5681153950042335,73.98939343067002,0.5397920385371687,69.38246625597759,0.7506113589611306,88.85,0.7503060600004963,88.85057976883935,0.7347859064575102,89.13974266165494,0.7673279434228505,78.95714285714284,0.6457869744168963,78.95874447900599,0.662231591852301,79.75913013375259,0.6683493247099365,79.65,0.4347178301343678,79.65463605512223,0.436330621125931,79.42840654035014,0.4186116051691101,91.81428571428573,0.7393460982930968,91.81498321056046,0.737362494572302,91.8513639270494,0.7757154554239222,86.35,0.29485382057928977,86.35043487476123,0.2950662990436634,86.37408996978036,0.3646401672810355,90.27857142857142,0.5172533425780486,90.27931077205669,0.5100891180323164,90.40577361815501,0.5484755260839655,89.02857142857142,0.40745601991290525,89.03001018933321,0.4016867928373418,89.16677944792342,0.46466427280352357,89.08571428571427,0.4543441112511233,89.08681357480127,0.44928980584145123,89.21579487366895,0.5005076688168435,79.85,0.47670210609896063,79.8531688902816,0.47807949818862205,79.79306783972586,0.49936236318973043,79.59285714285713,0.4229391812310681,79.59828518667965,0.4245860357902568,79.24121869042808,0.42748364097185315,84.74999999999999,0.3265465557332143,84.75081288137059,0.32703046984430983,84.78994735769406,0.31664387816368156,74.92142857142858,2.676179884744336,74.90437376634331,2.7670699483213164,75.97070480925422,3.8516891572275975
74.07333333333334,0.3079682523320304,74.07145422755933,0.3523834348788506,69.83559691826228,0.5578496792580404,89.58666666666669,0.27047283700134495,89.58234091409277,0.285121211692126,89.82627958844407,0.1801890321640956,79.42,0.36368484525295763,79.41871158146637,0.3920741210835731,80.33145985143877,0.3899378342464837,79.56666666666668,0.5929212051829101,79.56330863997042,0.594939030155843,79.40313096555423,0.6314421297057982,92.33333333333334,0.30331501776206227,92.33126464877273,0.3015163003471408,92.35452745644122,0.3812708573393225,85.92,0.5863635580612249,85.91380606289772,0.5812447604966559,85.97215379108135,0.6345494696787202,90.62666666666667,0.624464214791814,90.62458708073959,0.6247946299344382,90.78058170172095,0.568099449899148,89.40666666666667,0.4348179695765422,89.40293371289819,0.4341341406114195,89.55932108485136,0.4366465064424987,89.29333333333332,0.4615914499497017,89.28898728545077,0.4566932222922921,89.43431416174971,0.49157804239497155,79.69333333333334,0.2506879423595104,79.69054143807978,0.2526417917383324,79.72236320899097,0.49093476771156946,79.52666666666669,0.48871714154963397,79.52388750948613,0.4918201466733806,79.27153027818214,0.516032094616681,84.41333333333333,0.5264556539306565,84.40484397214938,0.52257145325442,84.43680679942203,0.5651397753943421,76.16666666666667,1.7919573407620817,76.21002905642199,1.7593694849520602,75.70116350671908,3.9175205201508216
